,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports
0,flu_00001,2011-12-06 to 2012-03-21,H5N1 subtype,"distretto di Siwan (admin level 2), Bihar (admin level 1); Kolkata destrict (admin level 2), West Bengal (admin level 1); Bhopal district (admin level 2), Madhya Pradesh (admin level 1); Distrito de Bhopal (admin level 2), Madhya Pradesh (admin level 1); Lalitpur district (admin level 2), Uttar Pradesh (admin level 1); Mayurbhanj district (admin level 2), Odisha (admin level 1); Khordha district (admin level 2), Odisha (admin level 1); Punjab (admin level 1); Jharkhand (admin level 1); Tripura (admin level 1); Khurdan piirikunta (admin level 2), Odisha (admin level 1); Orissa (admin level 1); Visakhapatnam district (admin level 2), Andhra Pradesh (admin level 1)",India,Aves; Corvus macrorhynchos; Corvus; Galliformes; Gallus gallus; Anas,2012_04_09_2; 2012_02_02_13; 2012_02_02_1; 2012_02_02_3; 2012_03_23_2; 2011_12_06_1; 2012_02_22_1; 2012_03_23_7; 2012_02_02_4; 2012_02_22_3; 2012_02_02_10
1,flu_00002,2007-06-21 to 2007-07-17,H5N1 subtype,Central Bohemian Region (admin level 1); South Bohemia Region (admin level 1); South Moravian Region (admin level 1),Czech Republic,Phasianidae; Aves; Galliformes,2007_07_17_2; 2007_06_22_4; 2007_07_03_2
2,flu_00003,2008-08-01 to 2008-08-15,H5N1 subtype,"Mayo-Kebbi Ouest Region (admin level 1); Katsina State (admin level 1); Juneau, Alaska (admin level 2), Alaska (admin level 1); Kebbi State (admin level 1); Kano State (admin level 1); Gombe State (admin level 1)",Nigeria,Aves; Gallus gallus; Anas platyrhynchos; Galliformes,2008_08_15_2; 2008_08_01_4
3,flu_00004,2014-11-18 to 2015-01-23,H5N8 subtype,Kumamoto Prefecture (admin level 1); Miyazaki Prefecture (admin level 1),Japan,Aves; Gallus gallus; Galliformes,2014_11_18_1; 2014_12_29_5; 2014_12_09_1; 2015_01_23_4; 2014_12_19_4
4,flu_00005,2016-11-18 to 2017-05-31,H7N9 subtype,"Rizhao (admin level 2), Shandong (admin level 1); Jiangsu (admin level 1); Fujian (admin level 1); Nanchang (admin level 2), Jiangxi (admin level 1); Guangdong (admin level 1); Fuzhou (admin level 2), Fujian (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Henan (admin level 1); Jiangxi (admin level 1); Anhui (admin level 1); Hong Kong (admin level 1); Hubei (admin level 1); Sichuan (admin level 1); Huzhou (admin level 2), Zhejiang (admin level 1); Zhejiang (admin level 1); Suzhou (admin level 2), Jiangsu (admin level 1); Wuhan (admin level 2), Hubei (admin level 1); Tibet (admin level 1); Suzhou (admin level 2), Anhui (admin level 1); Nantong (admin level 2), Jiangsu (admin level 1); Guizhou (admin level 1); Hengyang (admin level 2), Hunan (admin level 1)",People's Republic of China,Aves; Gallus gallus; Galliformes; Homo sapiens,2016_11_18_9; 2017_05_30_3; 2017_05_12_13; 2016_12_29_13; 2017_01_10_21; 2017_01_23_10; 2017_01_13_7; 2017_06_06_2; 2017_03_03_2; 2017_01_13_8; 2016_12_20_17; 2017_03_03_10; 2017_05_30_10; 2017_01_10_22; 2017_02_07_17; 2016_12_29_14; 2017_03_22_15; 2017_01_23_9
5,flu_00006,2011-02-28 to 2011-09-15,H5N1 subtype,"Quang Ngai (admin level 2), Quảng Ngãi (admin level 1); Distretto di Tu Son (admin level 2), Bac Ninh (admin level 1); Bac Kan (admin level 1); Distretto di Binh Minh (admin level 2), Vĩnh Long Province (admin level 1); Gia Nghia (admin level 2), Đắk Nông (admin level 1); Lang Son (admin level 2), Lạng Sơn (admin level 1); Ha Nam (admin level 1); Tan Binh (admin level 2), Ho Chi Minh City (admin level 1); Vinh Long (cidade) (admin level 2), Vĩnh Long (admin level 1); Tan Phu (admin level 2), Ho Chi Minh City (admin level 1)",Vietnam,Aves; Gallus gallus; Galliformes; Anas,2011_09_15_3; 2011_05_25_2; 2011_09_15_8; 2011_06_10_1; 2011_02_28_4; 2011_04_28_5; 2011_08_02_2; 2011_04_05_3
6,flu_00007,2007-09-05 to 2008-03-14,H5N1 subtype,"Turpan (admin level 2), Xinjiang (admin level 1); Guangzhou (kapital sa lalawigan) (admin level 2), Guangdong (admin level 1); Guangdong (admin level 1); Hong Kong (admin level 1); Guizhou (admin level 1); Cheung Prey District (admin level 2), Kampong Cham Province (admin level 1)",People's Republic of China,Aves; Egretta garzetta; Galliformes; Homo sapiens; Gallus gallus; Anas,2008_03_07_1; 2007_11_30_1; 2008_03_14_1; 2008_02_08_1; 2008_02_20_1; 2007_12_18_1; 2008_03_03_3; 2008_01_10_4; 2008_03_27_3; 2007_09_21_2
7,flu_00008,2007-03-20 to 2007-03-23,H5N1 subtype,Kunar (admin level 1); Kabul Province (admin level 1); Nangarhar (admin level 1),Afghanistan,Aves; Galliformes,2007_03_20_3; 2007_04_02_2
8,flu_00009,2016-08-19 to 2016-08-25,H9N2 subtype,Jiangxi (admin level 1); Yunnan (admin level 1),People's Republic of China,Homo sapiens,2016_09_09_5
9,flu_00010,2011-11-10 to 2012-01-03,H5N1 subtype,Gharbia Governorate (admin level 1); Dakahlia Governorate (admin level 1),Egypt,Aves; Gallus gallus; Galliformes; Anas; Homo sapiens,2012_02_02_5; 2011_12_06_6
